"Subj","ROI","Cond","Beta"
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.1432
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1812
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1791
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.1181
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1754
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1016
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.4952
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1406
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.07371
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.08826
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.009274
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.1812
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.2962
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.000623
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3186
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.08929
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.4623
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.3564
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1069
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.01252
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.2641
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.01918
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.2272
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.069
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.00569
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.09252
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1429
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2321
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1255
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.02364
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.1272
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1264
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.04491
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1664
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1513
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2415
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1645
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1603
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.01992
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.128
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.005789
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.02216
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.172
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.1836
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.0902
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.2154
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.2178
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.03029
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.3358
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1914
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1085
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.09036
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.07173
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.3591
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.1121
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.03039
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.08433
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.2656
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.4401
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.08289
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.08822
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.004858
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.005745
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1626
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.01461
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1731
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.2188
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.08669
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1928
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.008818
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3006
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1363
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.6052
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.01157
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.6875
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.1617
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1827
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.002912
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.3115
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.2647
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.1097
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.06962
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.09763
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.1151
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1729
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.2104
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.2665
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.09352
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.3039
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1499
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.09363
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.05768
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1488
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.1087
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.3449
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.07331
"sub-380590","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.01832
"sub-380590","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.02938
"sub-380590","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.2236
"sub-380590","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.01901
"sub-380590","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.07499
"sub-380590","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.197
"sub-380590","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.0882
"sub-380590","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.06848
"sub-425578","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.00689
"sub-425578","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.01623
"sub-425578","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.03946
"sub-425578","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2195
"sub-425578","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",7.3e-05
"sub-425578","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.01999
"sub-425578","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.0246
"sub-425578","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.01267
"sub-434971","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.2434
"sub-434971","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.1399
"sub-434971","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.2851
"sub-434971","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.7042
"sub-434971","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.4506
"sub-434971","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.5827
"sub-434971","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.03166
"sub-434971","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.3179
"sub-468051","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.04832
"sub-468051","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1686
"sub-468051","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.002947
"sub-468051","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.05924
"sub-468051","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.07059
"sub-468051","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.000553
"sub-468051","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.07341
"sub-468051","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.08275
"sub-499854","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.2798
"sub-499854","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.09444
"sub-499854","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.3033
"sub-499854","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.1001
"sub-499854","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.3491
"sub-499854","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.2329
"sub-499854","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.5121
"sub-499854","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.3866
"sub-526930","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.08164
"sub-526930","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.03976
"sub-526930","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.2014
"sub-526930","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.03629
"sub-526930","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.207
"sub-526930","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.03334
"sub-526930","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3019
"sub-526930","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1144
"sub-632012","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.2957
"sub-632012","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.07451
"sub-632012","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1141
"sub-632012","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2295
"sub-632012","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.4434
"sub-632012","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.3421
"sub-632012","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.1412
"sub-632012","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1915
"sub-656658","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.1613
"sub-656658","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.02207
"sub-656658","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1098
"sub-656658","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.09611
"sub-656658","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.01019
"sub-656658","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1453
"sub-656658","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.4671
"sub-656658","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1173
"sub-680997","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.2168
"sub-680997","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.08717
"sub-680997","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.2643
"sub-680997","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.06946
"sub-680997","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1156
"sub-680997","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1772
"sub-680997","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.1079
"sub-680997","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1691
"sub-688643","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.09236
"sub-688643","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.2156
"sub-688643","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.05274
"sub-688643","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2255
"sub-688643","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1202
"sub-688643","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1052
"sub-688643","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.1501
"sub-688643","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.02115
"sub-718911","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.0101
"sub-718911","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.0203
"sub-718911","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.01758
"sub-718911","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.07175
"sub-718911","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.06668
"sub-718911","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.01497
"sub-718911","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.06698
"sub-718911","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.02897
"sub-737080","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.2295
"sub-737080","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.1225
"sub-737080","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.08585
"sub-737080","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.1742
"sub-737080","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.2069
"sub-737080","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.08404
"sub-737080","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.09485
"sub-737080","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.06014
"sub-800472","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.3031
"sub-800472","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.2866
"sub-800472","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.0817
"sub-800472","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2961
"sub-800472","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.2751
"sub-800472","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1825
"sub-800472","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.02974
"sub-800472","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.03466
"sub-830922","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.2793
"sub-830922","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1033
"sub-830922","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.3685
"sub-830922","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.01112
"sub-830922","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1437
"sub-830922","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.02246
"sub-830922","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.07993
"sub-830922","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.04875
"sub-864020","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.532
"sub-864020","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1446
"sub-864020","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.221
"sub-864020","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.03002
"sub-864020","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.405
"sub-864020","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.02945
"sub-864020","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.05575
"sub-864020","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1603
"sub-939616","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.2644
"sub-939616","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1873
"sub-939616","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.105
"sub-939616","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.01195
"sub-939616","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.3354
"sub-939616","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.337
"sub-939616","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.1365
"sub-939616","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.09869
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.2316
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.01841
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1868
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.04432
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.001826
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.2835
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3184
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.3127
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.1363
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1479
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.05547
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.03177
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1797
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1845
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.1058
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.02773
